Series	Subseries	Box	File	Year	Month	Day	Publication Series	Document Number	Title	Scanned?	Reviewed?	Follow-up?	Subject	Keywords	Summary	Researcher Notes/Comments	Personnel
973	1	149215	1-10	1914			Bulletins (1914-1936)		Forewarned is Forearmed	yes							
973	1	149215	1-10	1914			Bulletins (1914-1936)		Here is Food for Thought	yes						Spending on Education	
973	1	149215	1-10	1914	3	6	Bulletins (1914-1936)	1	What citizen co-operation through a Bureau of Municipal Research has done elsewhere it can do in Toronto	yes						Outlines what the Bureau has done for other Cities. Provides examples of savings.	
973	1	149215	1-10	1914	3	13	Bulletins (1914-1936)	2	Do You Care How the Other Fellow is Housed?	yes							
973	1	149215	1-10	1914	3	18	Bulletins (1914-1936)	3	An ounce of Prevention is worth a Pound of Cure	yes							
973	1	149215	1-10	1914	3	21	Bulletins (1914-1936)	4	What is Everybody's Business is Nodoby's Business	yes							
973	1	149215	1-10	1914	3	25	Bulletins (1914-1936)	5	Is it enough to Believe that an authorization to incur indebtedness is justified? OR Should we, as citizens, find out and KNOW WHY it is justified?	yes							
973	1	149215	1-10	1914	3	27	Bulletins (1914-1936)	6	Can we Afford to Waste Time in complaining of city officials when there is so much WE can DO NOW?	yes							
973	1	149215	1-10	1914	4	1	Bulletins (1914-1936)	7	Is the Solution of the Housing Problem a Civic Duty?	yes							
973	1	149215	1-10	1914	4	2	Bulletins (1914-1936)	8	Toronto's Fire Loss in the month of March was $492,666.00 and five lives	yes							
973	1	149215	1-10	1914	4	3	Bulletins (1914-1936)	9	A Citizens' Programme for Toronto	yes							
973	1	149215	1-10	1914	4	6	Bulletins (1914-1936)	10	Toronto Spends 33% of her Taxes or 22% of her total; revenue on education in schools	yes							
973	1	149215	11-20 	1914	4	7	Bulletins (1914-1936)	11	More Steps in the Line of Progress: Chronicle from the Toronto Press	yes							
973	1	149215	11-20 	1914	4	8	Bulletins (1914-1936)	12	A Dollar Saved in purchasing or utilizing supplise Is a Dollar Earned wherewith additional Civic Service can be purchased or taxation reduced	yes							
973	1	149215	11-20 	1914	4	18	Bulletins (1914-1936)	13	What would you think if out of your annual income of $1200 you had to pay debt charges of $380?	yes							
973	1	149215	11-20 	1914	4	20	Bulletins (1914-1936)	14	The Report of the Civic Survey urged the need of establishing a Civil Service	yes							
973	1	149215	11-20 	1914	4	28	Bulletins (1914-1936)	15	There is Nothing Spectacular about Civic Housecleaning: Teaching Civics by the Laboratory Method	yes							
973	1	149215	11-20 	1914	5	7	Bulletins (1914-1936)	16	The Unpaid Taxes for 1911, 1912, and 1913 Aggregated on May 1st, 1914 $1,744,599.12	yes							
973	1	149215	11-20 	1914	5	11	Bulletins (1914-1936)	17	Bond Story Number One	yes							
973	1	149215	11-20 	1914	5	18	Bulletins (1914-1936)	18	Do you Desire to Help? Here is One Way: Help-Your-City-Suggestion-Box	yes						Encouraging use of the suggestion box run by the bureau; citizens can inform the bureau of local infrastructure problems and/or other matters of local interest	
973	1	149215	11-20 	1914	6	10	Bulletins (1914-1936)	19	"We are waiting, only waiting for another fire horror."	yes							
973	1	149215	11-20 	1914	6	24	Bulletins (1914-1936)	20	If Civil Service will Place a premium on ability, eliminate pull, reward merit in the Architect's Department, Why not in all City Departments?	yes							
973	1	149215	21-30	1914	7	7	Bulletins (1914-1936)	21	Bond Story Number Two	yes							
973	1	149215	21-30	1914	7	10	Bulletins (1914-1936)	22	Bond Story Number Three	yes							
973	1	149215	21-30	1914	7	23	Bulletins (1914-1936)	23	Making One Hundred Cents Do a Dollar's Worth of Work - Story Number One	yes							
973	1	149215	21-30	1914	8	4	Bulletins (1914-1936)	24	Making One Hundred Cents Do a Dollar's Worth of Work - Story Number Two	yes							
973	1	149215	21-30	1914	8	11	Bulletins (1914-1936)	25	Making One Hundred Cents Do a Dollar's Worth of Work - Story Number Three	yes							
973	1	149215	21-30	1914	8	18	Bulletins (1914-1936)	26	Simply because we are at war we must not stop thinking about our pressing local problems	yes							
973	1	149215	21-30	1914	8	21	Bulletins (1914-1936)	27	The Dominion, Provincial and City Governments are Being Called Upon Not to Curtail Public Work. This is Good.	yes							
973	1	149215	21-30	1914	8	27	Bulletins (1914-1936)	28	Bringing Supply and Demand Together	yes							
973	1	149215	21-30	1914	9	12	Bulletins (1914-1936)	29	Unemployment Story No. 4	yes							
973	1	149215	21-30	1914	9	23	Bulletins (1914-1936)	30	Getting Down to Brass Tacks	yes							
973	1	149215	41-50	1914	9	26	Bulletins (1914-1936)	31	What reorganization has been effected in the Toronto Fire Department since October 31st, 2013 the date of Judge Denton's Report?	yes							
973	1	149215	31-40	1914	10	21	Bulletins (1914-1936)	32	Who's fiddling now in Toronto?	yes						"At a conservative estimate, a million and a quarter dollars' worth of citizens' property went up in smoke in the first six months of 1914"	
973	1	149215	31-40	1914	10	23	Bulletins (1914-1936)	33	The Municipal Improvement Association as well as the Bureau of Municipal Research evidentyl intends to Mind Its Own Business	yes							
973	1	149215	31-40	1914	11	18	Bulletins (1914-1936)	34	Net Debt and Tax Rate Statistics of 5 Canadian and 11 United States Cities	yes							
973	1	149215	31-40	1914	12	10	Bulletins (1914-1936)	35	Unemployment Story No. 5: Kismet (the only way to solve unemployment is to make employment)	yes							
973	1	149215	31-40	1915	1	4	Bulletins (1914-1936)	36	A New Year's Gift to The City of Toronto 	yes						Introduction of City Accounting by the City Auditor and the Commissioner of Works; New Address of the Bureau: 813-820 Traders Bank Building	
973	1	149215	31-40	1915	1	29	Bulletins (1914-1936)	37	Unemployment Relief Fire Department Reorganiztion Accounting and Budget Reform Are Knocking at the Doors of the Toronto City Administration demanding attention forthwith.	yes							
973	1	149215	31-40	1915	2	8	Bulletins (1914-1936)	38	City Auditing - Story No. 1: Total amount of vouchers audited by the Department in 1913 $106,532,606	yes							
973	1	149215	31-40	1915	2	15	Bulletins (1914-1936)	39	City Auditing - Story No. 2: Write to your Alderman  	yes							
973	1	149215	31-40	1915	2	19	Bulletins (1914-1936)	40	City Auditing - Story No. 3: The City Auditor has stated how much space he needs	yes							
973	1	149215	41-50	1915	3	6	Bulletins (1914-1936)	41	Would It Not Be Unwise	yes						Meritocracy in selecting head of fire department	
973	1	149215	41-50	1915	3	17	Bulletins (1914-1936)	42	When is a Tax Rate Not a Tax Rate?	yes							
973	1	149215	41-50	1915	10	18	Bulletins (1914-1936)	43	Is Toronto About to Order Municipal Mobilization?	yes						Mobilizing citizens to shape municipal financial policies	
973	1	149215	41-50	1915	12	20	Bulletins (1914-1936)	44	Are You an Average Citizen? Is Your Family an Average Family?	yes							
973	1	149215	41-50	1916	5	1	Bulletins (1914-1936)	45	Toronto's Hospital Grants and Other So-Called Charitable Expenditures	yes							
973	1	149215	41-50	1916	5	23	Bulletins (1914-1936)	46	School Accounts 	yes						Education Spending Accountability	
973	1	149215	41-50	1916	5	31	Bulletins (1914-1936)	47	If Accounts are Worth Keeping, They are Worth Keeping Well	yes							
973	1	149215	41-50	1916	6	9	Bulletins (1914-1936)	48	Controlling the Uncontrollable	yes						Description of how the city's expenditures can all be controllable	
973	1	149215	41-50	1916	6	20	Bulletins (1914-1936)	49	Every Little Bond Has Debt Charges of Its Own	yes							
973	1	149215	41-50	1916	10	14	Bulletins (1914-1936)	50	In order to get the people's work done city governments must Spend other People's Money	yes							
